LandisData 	"Climate Data"
ClimateTable
<<EcoIndex      TimeStep      Month      AvgMinT      AvgMaxT      StdDevT      AvgPpt      StdDevPpt      PAR
   eco1      0      1            -3.175436314          8.320468018         0      12.20742723      0      0
   eco1      0      2            -4.156777308          5.662397037         0      46.76833659      0      0
   eco1      0      3            -2.675625093          9.946921036         0      13.86560958      0      0
   eco1      0      4            -2.169343194          11.26971586         0      2.459509319      0      0
   eco1      0      5           0.558467912            16.5171633        0      1.826665795      0      0
   eco1      0      6           5.452497797            22.8518815        0      0.535320418      0      0
   eco1      0      7            6.621704435           23.52117574        0      1.428816523      0      0
   eco1      0      8            8.389961476           26.90384359        0      0.189007782      0      0
   eco1      0      9            2.03544617            16.31817686       0      6.240868774      0      0
    eco1      0      10           -0.193449476           14.5869287         0      0.944216103      0      0
    eco1      0      11            -2.912091778          11.10776698         0      2.064996635      0      0
    eco1      0      12            -5.62258728           6.692516451        0      2.880772892      0      0
     eco2      0      1            -3.154878057          7.100950544         0      14.28508252      0      0
     eco2      0      2            -4.495215269          4.208267989         0      48.77059812      0      0
     eco2      0      3            -3.246430269          8.444885393         0      16.12242707      0      0
     eco2      0      4            -2.680455086          9.535646486         0      3.61108127      0      0
     eco2      0      5            0.354266078           14.53092864        0      2.757069952      0      0
     eco2      0      6            5.847841609           20.84500923        0      0.846634504      0      0
     eco2      0      7            7.509142463           21.41530687        0      1.764606538      0      0
     eco2      0      8            9.286085129           24.86294964        0      0.589643847      0      0
     eco2      0      9            2.862045711           14.37683207        0      6.905715741      0      0
     eco2      0      10            0.434486154           12.86619332        0      1.472747874      0      0
     eco2      0      11            -2.84072217           9.627963842         0      3.04209699      0      0
     eco2      0      12            -5.45122076           5.579904781         0      4.060144739      0      0
     eco3      0      1            -3.906548277          6.478949591         0      15.39743274      0      0
     eco3      0      2           -5.382029673           3.47667381         0      50.0600832      0      0
     eco3      0      3            -4.237347458          7.633360816         0      17.32237054      0      0
     eco3      0      4            -3.727073742          8.411983082         0      4.32482266      0      0
     eco3      0      5            -0.530177258          13.28449395         0      3.275535833      0      0
     eco3      0      6            5.119280136           19.46332933        0      0.955768202      0      0
     eco3      0      7           6.82262465             19.9766274       0      1.997939458      0      0
     eco3      0      8            8.540315578           23.44492734        0      0.674125155      0      0
     eco3      0      9            2.114221813           13.11437545        0      7.021480301      0      0
     eco3      0      10           -0.295240244           11.7684928         0      1.503189627      0      0
     eco3      0      11           -3.623752017           8.94652185         0      3.640689734      0      0
     eco3      0      12            -6.17999932           5.093236678         0      5.026690064      0      0
     eco4      0      1            -3.498859152          6.638752522         0      17.14814395      0      0
     eco4      0      2           -4.915050401           3.68923896         0      51.52037162      0      0
     eco4      0      3            -3.666689637          7.891073407         0      18.56267384      0      0
     eco4      0      4            -3.15054917           8.692119759        0      4.910385757      0      0
     eco4      0      5            -0.011910913          13.61076831         0      3.327514308      0      0
     eco4      0      6            5.650516371           19.88564746        0      1.006310107      0      0
     eco4      0      7            7.450038421           20.44347278        0      1.836310589      0      0
     eco4      0      8          9.180092217             23.889299        0      0.550923241      0      0
     eco4      0      9            2.687231033           13.48677648        0      7.276305446      0      0
