LandisData 	"Climate Data"
ClimateTable

>>   This file includes year "80" A2 climate input data ONLY (to assess Pest at end of A2 climate model)
>>EcoIndex TimeStep Month AvgMinT	AvgMaxT		StdDevT		AvgPpt		StdDevPpt	PAR
eco1	0	1	-6.745029995	5.304929323	2.897517231	13.64781535	2.968245792	0
eco1	0	2	-4.302918423	7.518678436	1.585540065	13.65154629	7.148289694	0
eco1	0	3	-2.831527089	10.3850516	1.633759743	11.58166758	7.675232122	0
eco1	0	4	-0.325070249	15.33531085	0.954036049	4.93702281	6.306788403	0
eco1	0	5	3.163717554	21.06247654	1.739261594	1.705921739	1.194217624	0
eco1	0	6	7.915523157	27.85736105	1.677429751	0.46749018	0.265537936	0
eco1	0	7	12.3614111	32.70604339	0.463463065	0.246658649	0.326274917	0
eco1	0	8	11.71385585	31.23430498	0.888090448	1.333466665	1.550148258	0
eco1	0	9	8.926857865	26.74028298	1.600052292	4.131627185	3.542158759	0
eco1	0	10	1.785518698	19.39255677	1.213321604	1.308061033	1.081649304	0
eco1	0	11	-3.459382776	9.824183874	1.40687709	9.49157944	4.811280319	0
eco1	0	12	-5.975880141	6.355998817	1.865428219	11.17591487	7.42227897	0
eco2	0	1	-7.399799154	4.877105026	2.973597533	14.63215723	2.973239957	0
eco2	0	2	-4.913123191	7.271203587	1.668873601	14.75884748	7.950964988	0
eco2	0	3	-3.377472757	10.15320224	1.703144466	12.80866392	8.656892105	0
eco2	0	4	-0.81218765	14.98028012	0.891813473	5.600872364	6.948753645	0
eco2	0	5	2.786051516	20.63593361	1.695255833	1.887063429	1.310546815	0
eco2	0	6	7.55107114	27.5330003	1.591629986	0.619477868	0.35542013	0
eco2	0	7	11.92485469	32.23053599	0.499002361	0.319227721	0.439962953	0
eco2	0	8	11.22573655	30.60205769	0.899720108	1.511235448	1.704241926	0
eco2	0	9	8.201010717	26.18653534	1.567552633	4.871860444	4.301486379	0
eco2	0	10	1.103267082	18.78081863	1.277421119	1.355257388	1.158881208	0
eco2	0	11	-4.214686122	9.23040122	1.47007852	10.60463618	5.262559427	0
eco2	0	12	-6.654056353	5.888310954	1.920468151	11.99035542	7.969150741	0
eco3	0	1	-7.879933242	4.619444138	2.989608221	15.36922724	3.193244061	0
eco3	0	2	-5.326773123	7.080548565	1.703231137	15.38262217	8.320107552	0
eco3	0	3	-3.72640246	9.946712059	1.744412097	13.56815515	9.175523945	0
eco3	0	4	-1.145120333	14.74516403	0.874188264	5.910651001	7.155910656	0
eco3	0	5	2.489929643	20.39435779	1.666032246	1.949849893	1.330053379	0
eco3	0	6	7.191350514	27.26019789	1.529372243	0.703453171	0.405073249	0
eco3	0	7	11.43909131	31.97890187	0.538998238	0.336431662	0.467149522	0
eco3	0	8	10.66918273	30.32320898	0.924695099	1.679950312	1.878730961	0
eco3	0	9	7.613056975	25.93261464	1.533674206	5.195660081	4.586338233	0
eco3	0	10	0.594170647	18.49833161	1.307067664	1.357284656	1.223219232	0
eco3	0	11	-4.71986246	8.941094732	1.513956857	11.25051648	5.514027609	0
eco3	0	12	-7.207032651	5.643290944	1.943158171	12.68284602	8.353180427	0
eco4	0	1	-7.420267665	4.997645596	2.99689108	14.72942045	3.026017936	0
eco4	0	2	-4.936016729	7.297043335	1.666256068	14.83340867	7.958619475	0
eco4	0	3	-3.392276302	10.10964148	1.687667256	12.82887641	8.642810452	0
eco4	0	4	-0.871596702	14.94848673	0.906586322	5.362679102	6.613121121	0
eco4	0	5	2.675061414	20.59605676	1.724300948	1.841411524	1.277180679	0
eco4	0	6	7.355629958	27.4280641	1.582155283	0.601564928	0.339724452	0
eco4	0	7	11.65326237	32.3810015	0.469699667	0.264992536	0.378335411	0
eco4	0	8	10.95320577	30.90413629	0.897875839	1.404424964	1.558647606	0
eco4	0	9	7.981826508	26.39660432	1.57425335	4.457409196	3.691047855	0
eco4	0	10	0.940021684	18.97838061	1.244491227	1.327208717	1.135882202	0
eco4	0	11	-4.231758599	9.400337259	1.482005477	10.56560781	5.259316901	0
eco4	0	12	-6.711329496	6.050899609	1.949605617	12.29236572	8.040384438	0
eco5	0	1	-7.156276659	5.108400152	2.952123509	14.34915047	2.986073111	0
eco5	0	2	-4.692026863	7.424164205	1.64265353	14.41065192	7.734020975	0
eco5	0	3	-3.156300649	10.2620297	1.695207086	12.49508322	8.407341577	0
eco5	0	4	-0.618284522	15.10627242	0.89317099	5.28967111	6.572341708	0
eco5	0	5	2.927900416	20.76701451	1.707066071	1.785381132	1.235964392	0
eco5	0	6	7.589986685	27.58994203	1.590106306	0.605318569	0.342584576	0
eco5	0	7	11.9090854	32.42028438	0.491200367	0.272721097	0.381708634	0
eco5	0	8	11.23756424	30.85232696	0.892931488	1.446888377	1.63491669	0
eco5	0	9	8.287049269	26.39539361	1.554674966	4.509328519	3.868075463	0
eco5	0	10	1.228971937	19.03530399	1.258451575	1.303185368	1.14320547	0
eco5	0	11	-3.996738654	9.479776867	1.457355726	10.35315543	5.192674519	0
eco5	0	12	-6.495912262	6.136268717	1.907932747	11.93450447	7.858436742	0




























































