LandisData 	"Climate Data"
ClimateTable
<<EcoIndex TimeStep Month AvgMinT	AvgMaxT		StdDevT		AvgPpt		StdDevPpt	PAR
eco1	0	1	-8.222536876	3.376353156	0.647122756	18.56678641	13.83959473	0
eco1	0	2	-7.888005374	4.192443177	1.703209581	14.69911061	9.966983528	0
eco1	0	3	-5.412212127	7.10409419	1.121748878	13.91155398	5.884738289	0
eco1	0	4	-3.258039619	11.27888063	1.309964161	6.214943246	3.220717924	0
eco1	0	5	-0.80902318	14.7269792	1.124579273	4.106063837	2.528507137	0
eco1	0	6	3.042510282	21.09697229	1.642119243	1.41407867	0.662885178	0
eco1	0	7	6.487101657	26.2819366	1.560332943	0.596739734	0.407813472	0
eco1	0	8	5.098910838	24.32171888	1.537453684	1.222755157	1.022208199	0
eco1	0	9	2.807600847	21.42915124	2.013598504	5.012905396	4.98030554	0
eco1	0	10	-1.165874479	14.69888109	1.17086307	8.95435366	5.163525697	0
eco1	0	11	-3.884769675	9.065108523	0.634428848	9.451082194	3.779576552	0
eco1	0	12	-7.879218894	4.179563619	1.025136311	19.6116949	3.875759485	0
eco2	0	1	-8.894568097	2.936351996	0.631981432	19.76780176	14.44889077	0
eco2	0	2	-8.586465727	3.785718605	1.699618604	15.55261053	10.22717287	0
eco2	0	3	-6.058243302	6.798292275	1.148965589	15.29629667	6.320401158	0
eco2	0	4	-3.807972319	10.85358384	1.37474965	7.182875234	3.666332589	0
eco2	0	5	-1.319730187	14.35068766	1.184797329	4.883331261	3.124777389	0
eco2	0	6	2.654085297	20.59670513	1.645073718	1.679217422	0.868102261	0
eco2	0	7	6.03488728	25.69585219	1.559101372	0.799049581	0.468273356	0
eco2	0	8	4.629214211	23.74687751	1.545643048	1.29047649	1.191398704	0
eco2	0	9	2.286113706	20.92244833	1.992319502	5.23706879	5.357857086	0
eco2	0	10	-1.740583746	14.12769234	1.154280376	9.238846444	5.026761092	0
eco2	0	11	-4.590847508	8.538942681	0.622606597	10.47448685	3.811177805	0
eco2	0	12	-8.516768881	3.721788022	1.082429063	20.86324198	4.234454966	0
eco3	0	1	-9.401218325	2.656838486	0.641924709	20.7697887	15.1271786	0
eco3	0	2	-9.109812706	3.503809382	1.730828818	16.16742706	10.4849548	0
eco3	0	3	-6.491622763	6.537703972	1.136731802	15.9397428	6.313862606	0
eco3	0	4	-4.187277491	10.58172303	1.411104076	7.662164939	3.88448528	0
eco3	0	5	-1.679489546	14.0679632	1.195251942	5.165188201	3.230800246	0
